route_id,shape_id,stop_id,stop_name,stop_sequence,stop_lon,stop_lat,dist
215,shape215-I,2242,"RUA PROF VIRGILIO DE MORAIS, 163",1,-38.596372,-3.749752,0
215,shape215-I,4648,"RUA HIPOLITO PAMPLONA, 734",2,-38.595794,-3.747409,351.606476982276
215,shape215-I,2246,"RUA HIPOLITO PAMPLONA, 377",3,-38.595925,-3.746368,467.592270560111
215,shape215-I,1915,"RUA HIPOLITO PAMPLONA, 333",4,-38.596253,-3.744114,719.393569588236
215,shape215-I,5395,"RUA SALGADO FILHO, 272",5,-38.595222,-3.741026,1203.24019139228
215,shape215-I,1904,"AVENIDA MIT HULL, 5557",6,-38.594082,-3.74012,1424.72966166822
215,shape215-I,1910,"AVENIDA MIT HULL, 5151",7,-38.590388,-3.739572,1839.38497316238
215,shape215-I,1974,"AVENIDA MIT HULL, 4869",8,-38.587961,-3.739324,2111.47655126945
215,shape215-I,6109,"PRAÇA TERMINAL ANTONIO BEZERRA, SN",9,-38.584259,-3.737496,3440.88335262926
