route_id,shape_id,stop_id,stop_name,stop_sequence,stop_lon,stop_lat,dist
637,shape637-V,5809,"PRAÇA TERMINAL MESSEJANA, SN",1,-38.501933,-3.831484,19.0673702408697
637,shape637-V,3711,"RODOVIA BR 116, SN",2,-38.504343,-3.832658,1772.30011648202
637,shape637-V,3714,"RODOVIA BR 116, 9800",3,-38.503645,-3.834096,1949.15718291268
637,shape637-V,5069,"RUA NUNES FEIJO, 1362",4,-38.505905,-3.846706,4240.09824524663
637,shape637-V,5071,"RUA NUNES FEIJO, 1596",5,-38.508719,-3.845599,4575.69821606934
637,shape637-V,5068,"RUA MORADA NOVA, SN",6,-38.511442,-3.845891,4981.90485803388
637,shape637-V,3803,"AVENIDA C CJ HAB ST SAO JOAO, 46",7,-38.512711,-3.84896,5349.31220799857
637,shape637-V,3812,"AVENIDA 39 CJ HAB SÍTIOT SÃO JOÃO, 215",8,-38.51334,-3.850589,5542.4486360124
637,shape637-V,6052,"RUA RAQUEL DE QUEIROZ CJ MARIA TOMASIA, SN",9,-38.519951,-3.855592,7475.30437521578
