route_id,shape_id,stop_id,stop_name,stop_sequence,stop_lon,stop_lat,dist
042,shape042-I,6108,"PRAÇA TERMINAL ANTONIO BEZERRA, SN",1,-38.584186,-3.737485,1.97235324927973e-09
042,shape042-I,1494,"RUA CEL CARVALHO, 3568",2,-38.584143,-3.73488,703.106612795644
042,shape042-I,4671,"AVENIDA CEL CARVALHO, SN",3,-38.584419,-3.732492,968.849116509567
042,shape042-I,1478,"AVENIDA CEL CARVALHO, 342",4,-38.584621,-3.730763,1161.27992917563
042,shape042-I,1474,"AVENIDA CEL CARVALHO, 2889",5,-38.584979,-3.728366,1429.42792492098
042,shape042-I,804,"AVENIDA CEL CARVALHO, 2639",6,-38.585641,-3.725958,1705.56705093091
042,shape042-I,798,"AVENIDA CEL CARVALHO, 2417",7,-38.586321,-3.723427,1995.36854447611
042,shape042-I,791,"AVENIDA CEL CARVALHO, 2279",8,-38.586732,-3.721884,2171.92833299781
042,shape042-I,4785,"AVENIDA ABELARDO FERREIRA, 1925",9,-38.587451,-3.719201,2479.05872753158
042,shape042-I,149,"AVENIDA CEL CARVALHO, 1751",10,-38.587799,-3.717818,2636.74734673731
042,shape042-I,148,"AVENIDA CEL CARVALHO, 1303",11,-38.588691,-3.714249,3043.5500673914
042,shape042-I,139,"AVENIDA CEL CARVALHO, 1033 A",12,-38.589429,-3.711356,3373.71781933496
042,shape042-I,19,"AVENIDA CEL CARVALHO, 597",13,-38.590279,-3.708209,3734.27243329843
042,shape042-I,17,"AVENIDA CEL CARVALHO, 205",14,-38.59076,-3.706411,3940.09953227902
042,shape042-I,12,"AVENIDA CEL CARVALHO, 163",15,-38.591445,-3.703736,4245.41449442332
042,shape042-I,4244,"AVENIDA FRANCISCO SA, 7867",16,-38.5899,-3.704048,4464.46862262624
042,shape042-I,31,"AVENIDA FRANCISCO SA, 7785",17,-38.587929,-3.705231,4719.42983410437
042,shape042-I,35,"AVENIDA FRANCISCO SA, 7620",18,-38.586115,-3.706346,4955.58682887615
042,shape042-I,32,"AVENIDA FRANCISCO SA, 7326",19,-38.584548,-3.707274,5157.5814764998
