route_id,shape_id,stop_id,stop_name,stop_sequence,stop_lon,stop_lat,dist
825,shape825-I,6000,"RUA NOSSA SENHORA, SN",1,-38.499124,-3.80409,1.40801750050935e-09
825,shape825-I,4605,"RUA NS 06 RES CAJAZEIRAS, 101",2,-38.49949,-3.803988,54.3209849606271
825,shape825-I,4606,"RUA NS 05 RES CAJAZEIRAS, 92",3,-38.499367,-3.803164,226.778517561842
825,shape825-I,6153,"RUA JOAOZITO ARRUDA, SN",4,-38.498404,-3.803936,403.331621316144
825,shape825-I,3545,"AVENIDA DES GONZAGA, 1714",5,-38.497857,-3.80014,902.841359027613
825,shape825-I,2620,"AVENIDA DES GONZAGA, 911",6,-38.499171,-3.798822,1112.14992254829
825,shape825-I,4834,"RUA JULIO LIMA, 747",7,-38.498672,-3.795348,1646.53531980161
825,shape825-I,2609,"RUA CHICO LEMOS, 596",8,-38.498132,-3.793526,1942.79256212154
825,shape825-I,2608,"RUA CHICO LEMOS, 493",9,-38.498636,-3.792411,2078.15347823862
825,shape825-I,4630,"RUA CHICO LEMOS, 367",10,-38.499186,-3.791124,2233.01515615958
825,shape825-I,381,"RUA CHICO LEMOS, 200",11,-38.499948,-3.789523,2434.221358126
825,shape825-I,383,"RUA JOSE FRAGA NETO, 100",12,-38.499132,-3.788703,2599.45512876145
825,shape825-I,385,"AVENIDA SEN CARLOS JEREISSATI, 823",13,-38.497931,-3.788391,2769.84105952625
825,shape825-I,387,"AVENIDA SEN CARLOS JEREISSATI, 644",14,-38.497485,-3.786906,2941.29885068602
825,shape825-I,376,"AVENIDA SEN CARLOS JEREISSATI, 452",15,-38.496942,-3.785097,3150.15542349357
825,shape825-I,372,"RUA PDE FRANCISCO PITA, 1011 B",16,-38.496366,-3.782566,3454.65032755665
825,shape825-I,371,"RUA PDE FRANCISCO PITA, 853",17,-38.497918,-3.782095,3634.68193109367
825,shape825-I,4694,"RUA DES FAUSTINO ALBUQUERQUE, 50",18,-38.497779,-3.780102,3899.60888798775
825,shape825-I,3237,"RUA ANTONIO ROCHA, 535",19,-38.499205,-3.777966,4232.74662620358
825,shape825-I,3028,"AVENIDA ROGACIANO LEITE, 2080",20,-38.498595,-3.772557,4999.11024080776
825,shape825-I,3027,"AVENIDA ROGACIANO LEITE, 1860",21,-38.498025,-3.770754,5208.22303797527
825,shape825-I,3026,"RUA DOURALICE COSTA, 627",22,-38.496613,-3.769796,5472.50334168433
825,shape825-I,4928,"RUA DORALICE COSTA, 116",23,-38.494885,-3.770365,5674.48204126098
825,shape825-I,3035,"RUA DORALICE COSTA, 280",24,-38.493233,-3.77092,5867.91352895998
825,shape825-I,3036,"RUA REV BOLIVAR P BANDEIRA, 119",25,-38.492431,-3.771104,5967.23415489007
825,shape825-I,4399,"RUA GONTRAN GIFONI, 801",26,-38.490518,-3.768903,6655.18915991941
825,shape825-I,4495,"RUA GONTRAN GIFONI, SN",27,-38.491732,-3.768356,6803.0603962155
825,shape825-I,4496,"RUA GONTRAN GIFONI, SN",28,-38.494096,-3.766925,7109.64222679105
825,shape825-I,3025,"AVENIDA ROGACIANO LEITE, 900",29,-38.495859,-3.765521,7390.85211902188
825,shape825-I,3296,"AVENIDA ROGACIANO LEITE, 502",30,-38.494111,-3.763053,7725.68965443364
825,shape825-I,5174,"AVENIDA ROGACIANO LEITE, 431",31,-38.492568,-3.760379,8067.389595251
825,shape825-I,2550,"AVENIDA ENG SANTANA JUNIOR, SN",32,-38.490863,-3.753264,8884.62189539656
825,shape825-I,5142,"AVENIDA ENG SANTANA JUNIOR, 1901",33,-38.486138,-3.742174,10262.4265922538
825,shape825-I,6079,"PRAÇA TERMINAL PAPICU, SN",34,-38.484761,-3.738568,10894.5584983178
