route_id,shape_id,stop_id,stop_name,stop_sequence,stop_lon,stop_lat,dist
324,shape324-V,6095,"PRAÇA TERMINAL CONJUNTO CEARÁ, SN",1,-38.607558,-3.773036,16.2250110320268
324,shape324-V,1393,"AVENIDA L CJ CEARÁ, 135",2,-38.607703,-3.774932,229.369849297565
324,shape324-V,1396,"AVENIDA H CJ CEARA, 1285",3,-38.609249,-3.775687,474.042803717224
324,shape324-V,1395,"AVENIDA G CJ CEARA, 615",4,-38.610353,-3.774091,700.261238672934
324,shape324-V,4543,"AVENIDA B CJ CEARA, 1413",5,-38.611114,-3.772231,976.23921696314
324,shape324-V,4544,"AVENIDA B CJ CEARA, 1217",6,-38.609589,-3.770988,1194.32824771418
324,shape324-V,1354,"AVENIDA MIN ALBUQUERQUE LIMA, 285",7,-38.608579,-3.767976,1683.35846572756
324,shape324-V,4546,"AVENIDA MIN ALBUQUERQUE LIMA, 131",8,-38.609957,-3.767148,1861.71321354682
324,shape324-V,1330,"AVENIDA MIN ALBUQUERQUE LIMA, 153B",9,-38.613567,-3.764364,2368.10809498281
324,shape324-V,5835,"RUA J CONJ CEARÁ, SN",10,-38.614039,-3.762679,2593.97756765777
