route_id,shape_id,stop_id,stop_name,stop_sequence,stop_lon,stop_lat,dist
086,shape086-I,6108,"PRAÇA TERMINAL ANTONIO BEZERRA, SN",1,-38.584186,-3.737485,1.97235324927973e-09
086,shape086-I,4258,"TRAVESSA DOR CATUNDA GONDIM, SN",2,-38.585853,-3.737602,745.033078039239
086,shape086-I,1977,"AVENIDA MIT HULL, 4261",3,-38.583285,-3.738655,1334.03088541046
086,shape086-I,1979,"AVENIDA MIT HULL, 4083",4,-38.580383,-3.738122,1665.5592653593
086,shape086-I,1992,"AVENIDA MISTER HULL, SN",5,-38.577501,-3.737748,1988.25989669113
086,shape086-I,4259,"AVENIDA MIT HULL, 3220",6,-38.574263,-3.737331,2350.76675249649
086,shape086-I,1996,"AVENIDA MISTER  HULL, SN",7,-38.572291,-3.737087,2571.4018169119
086,shape086-I,6272,"ESTAÇÃO OLAVO BILAC, 2233",8,-38.564702,-3.735704,3431.12513858415
086,shape086-I,6270,"ESTAÇÃO JOSÉ LOURENÇO, 1659",9,-38.559192,-3.734564,4058.92380747151
086,shape086-I,6267,"ESTAÇÃO CRUZ SALDANHA, 1146",10,-38.554837,-3.733666,4554.50591810633
086,shape086-I,6265,"ESTAÇÃO PADRE FROTA, 512",11,-38.549467,-3.732564,5166.12255483277
086,shape086-I,6263,"ESTAÇÃO OTAVIO BONFIM, 384",12,-38.543328,-3.731264,5866.31315179847
086,shape086-I,1600,"RUA METON DE ALENCAR, SN",13,-38.537297,-3.731505,6561.95811017388
086,shape086-I,1691,"AVENIDA TRISTAO GONCALVES, 1153",14,-38.5346,-3.731735,6924.50382439689
086,shape086-I,1029,"AVENIDA TRISTAO GONCALVES, 152",15,-38.532049,-3.72328,7901.10698332655
086,shape086-I,1025,"RUA CASTRO E SILVA, 409",16,-38.52905,-3.723312,8323.15014973703
086,shape086-I,1030,"RUA CASTRO E SILVA, 162",17,-38.527042,-3.723972,8557.76660812269
086,shape086-I,1032,"RUA CASTRO E SILVA, 38",18,-38.525696,-3.724408,8714.81166587696
086,shape086-I,1033,"RUA SENA MADUREIRA, 761",19,-38.525604,-3.725933,8952.04101800734
086,shape086-I,1741,"AVENIDA POCINHO, 55",20,-38.522726,-3.728306,9558.51497997526
086,shape086-I,4408,"AVENIDA SANTOS DUMONT, 444",21,-38.519341,-3.729412,9953.87554367183
086,shape086-I,1750,"AVENIDA SANTOS DUMONT, 1028",22,-38.514478,-3.730977,10522.7743688221
086,shape086-I,1769,"AVENIDA SANTOS DUMONT, 1400",23,-38.511142,-3.732063,10912.1850045811
086,shape086-I,1780,"AVENIDA SANTOS DUMONT, 1665",24,-38.508982,-3.732771,11164.4873190282
086,shape086-I,1781,"AVENIDA SANTOS DUMONT, 1890",25,-38.507134,-3.733379,11380.4238205559
086,shape086-I,6204,"AVENIDA SANTOS DUMONT, 2500",26,-38.501979,-3.735096,11983.5439318136
086,shape086-I,2152,"AVENIDA SANTOS DUMONT, SN",27,-38.496667,-3.736819,12603.4108051951
086,shape086-I,6205,"AVENIDA SANTOS DUMONT, SN",28,-38.493094,-3.737981,13020.4554675999
086,shape086-I,2179,"AVENIDA SANTOS DUMONT, SN",29,-38.489711,-3.739069,13414.9037302574
086,shape086-I,2214,"AVENIDA SANTOS DUMONT, 5640",30,-38.481218,-3.741811,14405.5674488119
086,shape086-I,2216,"AVENIDA SANTOS DUMONT, 6022",31,-38.478926,-3.742552,14672.9454519918
086,shape086-I,2218,"AVENIDA SANTOS DUMONT, 6400",32,-38.475324,-3.74373,15093.6112517398
086,shape086-I,2210,"RUA LAURO NOGUEIRA, 1165",33,-38.476181,-3.740765,16036.7367396963
086,shape086-I,5796,"RUA JOSE RANGEL, 179",34,-38.47183,-3.738442,16815.6514912839
086,shape086-I,2219,"AVENIDA SANTOS DUMONT, 6385",35,-38.475345,-3.743609,18416.4510202263
086,shape086-I,2217,"AVENIDA SANTOS DUMONT, 6021",36,-38.478948,-3.742459,18836.2565419485
086,shape086-I,2215,"AVENIDA SANTOS DUMONT, 5640",37,-38.481254,-3.74172,19105.0427503836
086,shape086-I,2187,"AVENIDA SANTOS DUMONT, 5500",38,-38.483762,-3.740907,19397.6909069427
086,shape086-I,6079,"PRAÇA TERMINAL PAPICU, SN",39,-38.484761,-3.738568,20293.9653676151
