route_id,shape_id,stop_id,stop_name,stop_sequence,stop_lon,stop_lat,dist
019,shape019-V,6079,"PRAÇA TERMINAL PAPICU, SN",1,-38.484761,-3.738568,9.54870770954215
019,shape019-V,2203,"RUA DES WALDETARIO P MOTA, SN",2,-38.484094,-3.742331,1344.17781247535
019,shape019-V,2201,"RUA ANDRADE FURTADO, SN",3,-38.484779,-3.744147,1608.46607581414
019,shape019-V,4316,"AVENIDA PDE ANTONIO TOMAS, 3416",4,-38.480878,-3.746246,2131.36139548274
019,shape019-V,5701,"AVENIDA SEBASTIAO DE ABREU, 515",5,-38.483305,-3.757452,3515.9130803692
019,shape019-V,3304,"AVENIDA WASHINGTON SOARES, 909",6,-38.482985,-3.762879,4117.3018847428
019,shape019-V,3329,"AVENIDA WASHINGTON SOARES, SN",7,-38.482435,-3.76856,4748.54060923141
019,shape019-V,4188,"AVENIDA WASHINGTON SOARES, SN",8,-38.482082,-3.773125,5254.77607484736
019,shape019-V,3244,"AVENIDA WASHINGTON SOARES, SN",9,-38.481778,-3.775036,5468.78461301819
019,shape019-V,1083,"AVENIDA WASHINGTON SOARES, SN",10,-38.481152,-3.782611,6309.09855793959
019,shape019-V,5389,"RUA EDUARDO BRIGIDO MONTEIRO, SN",11,-38.483139,-3.784578,6746.0581073608
019,shape019-V,5390,"RUA EDUARDO BRIGIDO MONTEIRO, SN",12,-38.485347,-3.784687,6991.55190025809
019,shape019-V,5392,"RUA JUNIOR ROCHA, 125",13,-38.487156,-3.785711,7353.76726816754
019,shape019-V,393,"RUA VER PEDRO PAULO MOREIRA, 833",14,-38.487967,-3.787095,7586.96153721004
019,shape019-V,4404,"RUA GAL CAIADO DE CASTRO, 749",15,-38.4892,-3.78885,7909.8135607388
019,shape019-V,4406,"RUA PDE JANUARIO CAMPOS, 68",16,-38.489146,-3.791423,8229.17531294608
019,shape019-V,630,"RUA JULIO LIMA, 276",17,-38.489468,-3.794462,8567.00007766821
019,shape019-V,627,"RUA VIS BARBACENA    (D61), 70",18,-38.489198,-3.796784,8873.78095368378
019,shape019-V,4632,"RUA JOSE FURTADO, 1660",19,-38.48837,-3.798375,9148.78284420497
019,shape019-V,3159,"RUA JOSE FURTADO, 1991",20,-38.488659,-3.801138,9455.92726857578
019,shape019-V,3162,"AVENIDA PEDRO LAZAR, 815",21,-38.488474,-3.803061,9669.57185977929
019,shape019-V,3164,"AVENIDA PEDRO LAZAR, SN",22,-38.488474,-3.805134,9900.93234679341
019,shape019-V,5565,"RUA PEDRO LAZAR, SN",23,-38.489339,-3.807821,10213.1012009679
019,shape019-V,4607,"AVENIDA MIN JOSE AMERICO, SN",24,-38.490176,-3.808329,10335.3597540602
019,shape019-V,4836,"AVENIDA MIN JOSE AMERICO, 686",25,-38.493552,-3.810213,10766.0497660789
019,shape019-V,4837,"AVENIDA MIN JOSE AMERICO, 495",26,-38.495116,-3.810874,10954.4663179496
019,shape019-V,4822,"RUA ARAUJO TORREAO, SN",27,-38.496968,-3.812778,11333.1330033153
019,shape019-V,3433,"AVENIDA FRE CIRILO, SN",28,-38.498253,-3.815467,11798.1643299734
019,shape019-V,3431,"AVENIDA FRE CIRILO, 3800",29,-38.497466,-3.817253,12014.0673987007
019,shape019-V,1485,"AVENIDA FRE CIRILO, SN",30,-38.496421,-3.819694,12307.782381168
019,shape019-V,5365,"AVENIDA FRE CIRILO, 4454",31,-38.495199,-3.822465,12642.8262726525
019,shape019-V,1488,"AVENIDA FRE CIRILO, 4763",32,-38.494014,-3.825178,12970.3208543467
019,shape019-V,1201,"RUA PDE PEDRO DE ALENCAR, 144",33,-38.493621,-3.828818,13387.4449381632
019,shape019-V,1203,"RUA MANUEL C BRANCO, 54",34,-38.495075,-3.831666,13827.2798913076
019,shape019-V,5809,"PRAÇA TERMINAL MESSEJANA, SN",35,-38.501933,-3.831484,14656.9974900374
