route_id,shape_id,stop_id,stop_name,stop_sequence,stop_lon,stop_lat,dist
368,shape368-I,5916,"RUA TRES CONJ HAB TATUMUNDÉ, SN",1,-38.615377,-3.801623,1.37029672926631e-09
368,shape368-I,1098,"RUA FRANCISCO PAIVA, 1430",2,-38.615538,-3.794798,1025.25071566139
368,shape368-I,1094,"RUA BARRA MANSA, 638",3,-38.614231,-3.794767,1209.97306490371
368,shape368-I,1093,"RUA BARRA MANSA, 342",4,-38.611507,-3.79565,1527.79266428632
368,shape368-I,406,"RUA CEL VIRGILIO N PAES, 1290",5,-38.610684,-3.79478,1706.70551462075
368,shape368-I,4371,"RUA CEL VIRGILIO N PAES, 1280",6,-38.610367,-3.793812,1819.34934116275
368,shape368-I,405,"RUA CEL VIRGILIO N PAES, 1018",7,-38.609983,-3.79262,1957.84954758538
368,shape368-I,1952,"RUA CEL VIRGILIO N PAES, 781",8,-38.609343,-3.79063,2189.01551871121
368,shape368-I,1940,"RUA CEL VIRGILIO N PAES, 319",9,-38.607757,-3.78574,2757.54316915456
368,shape368-I,1941,"RUA CEL FABRICIANO, 1776",10,-38.607621,-3.782814,3158.94258891959
368,shape368-I,1939,"RUA JOSE TORRES, 1165",11,-38.607868,-3.782142,3270.83724162145
368,shape368-I,5054,"AVENIDA H CJ CEARA, 1106",12,-38.607234,-3.775393,4221.74779020436
368,shape368-I,5819,"PRAÇA TERMINAL CONJUNTO CEARÁ, SN",13,-38.607545,-3.772986,4513.38307113591
