route_id,shape_id,stop_id,stop_name,stop_sequence,stop_lon,stop_lat,dist
384,shape384-V,5822,"PRAÇA TERMINAL SIQUEIRA, SN",1,-38.586833,-3.789329,4.39106000882378
384,shape384-V,4457,"RUA PLACIDO DE CASTRO, 370",2,-38.584259,-3.791501,378.741714124282
384,shape384-V,450,"RUA COSTA FREIRE, 1566",3,-38.585225,-3.792841,580.564128498396
384,shape384-V,3955,"AVENIDA LUIS VIEIRA, SN",4,-38.586923,-3.795206,924.595430717185
384,shape384-V,458,"AVENIDA LUIS VIEIRA, SN",5,-38.586103,-3.797233,1166.44904064076
384,shape384-V,459,"RUA CON CASTRO, 3699",6,-38.586819,-3.799448,1457.86674061921
384,shape384-V,563,"RUA WALDIR DIOGO, 935",7,-38.586689,-3.803511,2019.8968306055
384,shape384-V,571,"RUA WALDIR DIOGO, SN",8,-38.584215,-3.805104,2346.21085479158
384,shape384-V,576,"RUA WALDIR DIOGO, 419",9,-38.582055,-3.806499,2631.33792662188
384,shape384-V,5005,"RUA WALDIR DIOGO, 329",10,-38.580268,-3.807327,2851.75217023604
384,shape384-V,871,"RUA WENEFRIDO MELO, 421",11,-38.575318,-3.811313,3562.13137783337
384,shape384-V,5181,"AVENIDA GODOFREDO MACIEL, 4263",12,-38.574999,-3.812378,3709.31392919675
384,shape384-V,4065,"RUA FRANCISCO BENTO, 16",13,-38.576788,-3.812266,3951.09074601424
384,shape384-V,872,"RUA 10 CJ PEQ MONDUBIM, 100",14,-38.578311,-3.813038,4185.12194017126
384,shape384-V,4052,"RUA 5 PARQUE SANTANA, 1402",15,-38.580585,-3.812773,4540.34828448912
384,shape384-V,4053,"RUA 12 PARQUE SANTANA, 288",16,-38.580719,-3.814025,4733.14460732926
384,shape384-V,4054,"RUA 2 PARQUE SANTANA, 951",17,-38.581173,-3.815292,4924.51270450108
384,shape384-V,4055,"RUA QUATRO/PLANALTO MONDUBIM, 40",18,-38.58252,-3.815491,5135.88618208844
384,shape384-V,4056,"RUA TRÊS PLANALTO MONDUBIM, 551",19,-38.582816,-3.816711,5316.44068233349
384,shape384-V,4261,"RUA TRÊS PLANALTO MONDUBIM, SN",20,-38.581682,-3.81723,5454.87037194716
384,shape384-V,4058,"RUA COLETORA A/PQ SANTANA, 391",21,-38.579399,-3.817207,6739.58663790231
384,shape384-V,4059,"RUA RAQUEL PIRES RIBEIRO, 81",22,-38.577612,-3.817208,6987.78774175347
384,shape384-V,4060,"RUA CARLOS MAGNO, 1332",23,-38.578712,-3.815504,7262.91818736181
384,shape384-V,5926,"RUA CARLOS MAGNO, 603",24,-38.579315,-3.815221,7336.92606726457
