route_id,shape_id,stop_id,stop_name,stop_sequence,stop_lon,stop_lat,dist
286,shape286-I,6108,"PRAÇA TERMINAL ANTONIO BEZERRA, SN",1,-38.584186,-3.737485,1.97235324927973e-09
286,shape286-I,4258,"TRAVESSA DOR CATUNDA GONDIM, SN",2,-38.585853,-3.737602,745.033078039239
286,shape286-I,1977,"AVENIDA MIT HULL, 4261",3,-38.583285,-3.738655,1334.03088541046
286,shape286-I,1979,"AVENIDA MIT HULL, 4083",4,-38.580383,-3.738122,1665.5592653593
286,shape286-I,1992,"AVENIDA MISTER HULL, SN",5,-38.577501,-3.737748,1988.25989669113
286,shape286-I,4259,"AVENIDA MIT HULL, 3220",6,-38.574263,-3.737331,2350.76675249649
286,shape286-I,1996,"AVENIDA MISTER  HULL, SN",7,-38.572291,-3.737087,2571.4018169119
286,shape286-I,1600,"RUA METON DE ALENCAR, SN",8,-38.537297,-3.731505,6547.62855229342
286,shape286-I,1691,"AVENIDA TRISTAO GONCALVES, 1153",9,-38.5346,-3.731735,6910.17426651643
286,shape286-I,1029,"AVENIDA TRISTAO GONCALVES, 152",10,-38.532049,-3.72328,7886.77742544609
286,shape286-I,1025,"RUA CASTRO E SILVA, 409",11,-38.52905,-3.723312,8308.82059185657
286,shape286-I,1030,"RUA CASTRO E SILVA, 162",12,-38.527042,-3.723972,8543.43705024223
286,shape286-I,1032,"RUA CASTRO E SILVA, 38",13,-38.525696,-3.724408,8700.4821079965
286,shape286-I,1033,"RUA SENA MADUREIRA, 761",14,-38.525604,-3.725933,8937.71146012688
286,shape286-I,1741,"AVENIDA POCINHO, 55",15,-38.522726,-3.728306,9544.18542209479
286,shape286-I,4408,"AVENIDA SANTOS DUMONT, 444",16,-38.519341,-3.729412,9939.54598579137
286,shape286-I,1750,"AVENIDA SANTOS DUMONT, 1028",17,-38.514478,-3.730977,10508.4448109417
286,shape286-I,1769,"AVENIDA SANTOS DUMONT, 1400",18,-38.511142,-3.732063,10897.8554467006
286,shape286-I,1780,"AVENIDA SANTOS DUMONT, 1665",19,-38.508982,-3.732771,11150.1577611478
286,shape286-I,1781,"AVENIDA SANTOS DUMONT, 1890",20,-38.507134,-3.733379,11366.0942626754
286,shape286-I,6204,"AVENIDA SANTOS DUMONT, 2500",21,-38.501979,-3.735096,11969.2143739332
286,shape286-I,2152,"AVENIDA SANTOS DUMONT, SN",22,-38.496667,-3.736819,12589.0812473146
286,shape286-I,6205,"AVENIDA SANTOS DUMONT, SN",23,-38.493094,-3.737981,13006.1259097194
286,shape286-I,2179,"AVENIDA SANTOS DUMONT, SN",24,-38.489711,-3.739069,13400.5741723769
286,shape286-I,2214,"AVENIDA SANTOS DUMONT, 5640",25,-38.481218,-3.741811,14391.2378909315
286,shape286-I,2216,"AVENIDA SANTOS DUMONT, 6022",26,-38.478926,-3.742552,14658.6158941113
286,shape286-I,2218,"AVENIDA SANTOS DUMONT, 6400",27,-38.475324,-3.74373,15079.2816938594
286,shape286-I,2210,"RUA LAURO NOGUEIRA, 1165",28,-38.476181,-3.740765,16022.4071818158
286,shape286-I,5796,"RUA JOSE RANGEL, 179",29,-38.47183,-3.738442,16801.3219334035
286,shape286-I,2219,"AVENIDA SANTOS DUMONT, 6385",30,-38.475345,-3.743609,18402.1214623458
286,shape286-I,2217,"AVENIDA SANTOS DUMONT, 6021",31,-38.478948,-3.742459,18821.926984068
286,shape286-I,2215,"AVENIDA SANTOS DUMONT, 5640",32,-38.481254,-3.74172,19090.7131925031
286,shape286-I,2187,"AVENIDA SANTOS DUMONT, 5500",33,-38.483762,-3.740907,19383.3613490622
286,shape286-I,6079,"PRAÇA TERMINAL PAPICU, SN",34,-38.484761,-3.738568,20279.6358097346
