route_id,shape_id,stop_id,stop_name,stop_sequence,stop_lon,stop_lat,dist
340,shape340-V,6083,"PRAÇA TERMINAL PARANGABA, SN",1,-38.56358,-3.775878,6.38766325877507
340,shape340-V,1655,"AVENIDA DEDÉ BRASIL, 614 A",2,-38.560862,-3.779165,631.252212639956
340,shape340-V,205,"RUA FAGUNDES VARELA, 560",3,-38.562684,-3.78352,1278.89462109206
340,shape340-V,203,"RUA FAGUNDES VARELA, 760",4,-38.563483,-3.785303,1497.45550832881
340,shape340-V,4642,"RUA PRIMEIRO DE JANEIRO, 372",5,-38.562671,-3.785865,1635.60619267026
340,shape340-V,208,"RUA JOSE MENELEU  (D41), 531",6,-38.5613,-3.785117,1881.84532869335
340,shape340-V,213,"RUA JOSE MENELEU  (D41), 271",7,-38.559517,-3.782812,2205.18174516604
340,shape340-V,214,"RUA SUECIA, 1012",8,-38.557854,-3.783821,2451.02349100834
340,shape340-V,288,"RUA SUECIA, 1395",9,-38.554778,-3.786412,2896.77175082427
340,shape340-V,289,"RUA DOR JUSTA ARAUJO   (D45), 1530",10,-38.55359,-3.78491,3144.47665100793
340,shape340-V,293,"AVENIDA DR. SILAS MUNGUBA, 2259",11,-38.551494,-3.785809,3432.38179490192
340,shape340-V,4941,"AVENIDA DEDÉ BRASIL, 2672",12,-38.549827,-3.786598,3637.05844348345
340,shape340-V,303,"AVENIDA BERNARDO MANOEL, 7749",13,-38.548523,-3.789021,4039.87010985764
340,shape340-V,2586,"AVENIDA BERNARDO MANOEL, 8190",14,-38.549217,-3.791248,4297.82561434386
340,shape340-V,2591,"AVENIDA BERNARDO MANOEL, 8600",15,-38.550348,-3.794898,4720.41064502361
340,shape340-V,2573,"AVENIDA BERNARDO MANOEL, 8848",16,-38.550968,-3.79691,4953.23560976854
340,shape340-V,2577,"AVENIDA BERNARDO MANOEL, 9135",17,-38.551753,-3.799472,5249.54792834452
340,shape340-V,3067,"AVENIDA BERNARDO MANOEL, 9340",18,-38.552018,-3.800371,5353.18679768276
340,shape340-V,3062,"AVENIDA BERNARDO MANOEL, 9950",19,-38.553096,-3.803925,5763.87503907588
340,shape340-V,3092,"AVENIDA BERNARDO MANOEL, 8109",20,-38.553978,-3.806902,6107.24416367148
340,shape340-V,3091,"AVENIDA BERNARDO MANOEL, 10151",21,-38.55389,-3.807068,6356.43749548648
340,shape340-V,4973,"RUA 7 PLANALTO ITAPERI, 40",22,-38.551835,-3.80791,6676.38947182968
340,shape340-V,3197,"RUA 12 PLANALTO ITAPERI, 120",23,-38.552787,-3.809509,6926.17938933246
340,shape340-V,4960,"RUA 13 PLANALTO ITAPERI, 85",24,-38.553796,-3.809995,7082.53946638474
340,shape340-V,5130,"AVENIDA BERNARDO MANOEL, SN",25,-38.554381,-3.808694,7269.16269098762
340,shape340-V,5110,"AVENIDA BERNARDO MANOEL, 10394",26,-38.555074,-3.810556,7590.67094272431
340,shape340-V,3200,"AVENIDA BERNARDO MANOEL, 10582",27,-38.555382,-3.811592,7710.18957990591
340,shape340-V,609,"TRAVESSA SAO JOSE, 69",28,-38.557061,-3.814157,8122.12789222092
340,shape340-V,608,"RUA PAVUNA, 605",29,-38.557979,-3.815448,8353.14485879501
340,shape340-V,610,"RUA A LT IMPER MONDUBIN, 146",30,-38.560575,-3.816004,8775.14473396556
340,shape340-V,606,"RUA CRISTIANO OTONE, 426",31,-38.560653,-3.815047,8920.8646571205
340,shape340-V,4003,"RUA FRIESIO BARROSO, 264 A",32,-38.560368,-3.813572,9134.59887576505
340,shape340-V,600,"RUA GODOFREDO OLIVEIRA, 202",33,-38.560746,-3.812014,9384.28310672376
